1, -0.069454, -0.069454, 0.000000
2, -0.077291, -0.083995, 0.001676
3, -0.070634, -0.072106, 0.000368
4, -0.045846, -0.046581, 0.000184
5, -0.078902, -0.079656, 0.000189
6, -0.057163, -0.058020, 0.000214
7, -0.077036, -0.078027, 0.000248
8, -0.070261, -0.071750, 0.000372
9, -0.073551, -0.075300, 0.000437
10, -0.083387, -0.084974, 0.000397
11, -0.083197, -0.084401, 0.000301
12, -0.072824, -0.073659, 0.000209
13, -0.085953, -0.086605, 0.000163
14, -0.068383, -0.069024, 0.000160
15, -0.067806, -0.068539, 0.000183
16, -0.065101, -0.066131, 0.000257
17, -0.061251, -0.062654, 0.000351
18, -0.067004, -0.069022, 0.000505
19, -0.075265, -0.077668, 0.000601
20, -0.091651, -0.093812, 0.000540
21, -0.087775, -0.089453, 0.000419
22, -0.083418, -0.084752, 0.000333
23, -0.073412, -0.074577, 0.000291
24, -0.076860, -0.078025, 0.000291
25, -0.066947, -0.068031, 0.000271
26, -0.076715, -0.077697, 0.000246
27, -0.087895, -0.088856, 0.000240
28, -0.068927, -0.069957, 0.000257
29, -0.094066, -0.095153, 0.000272
30, -0.078730, -0.079871, 0.000285
31, -0.085333, -0.086578, 0.000311
32, -0.094811, -0.096123, 0.000328
33, -0.073790, -0.075133, 0.000336
34, -0.095445, -0.096810, 0.000341
35, -0.074510, -0.075890, 0.000345
36, -0.090774, -0.092106, 0.000333
37, -0.073648, -0.075086, 0.000360
38, -0.090329, -0.091774, 0.000361
39, -0.080778, -0.082297, 0.000380
40, -0.069624, -0.071263, 0.000410
41, -0.056845, -0.058349, 0.000376
42, -0.094372, -0.095765, 0.000348
43, -0.064636, -0.065987, 0.000338
44, -0.073532, -0.074829, 0.000324
45, -0.081287, -0.082463, 0.000294
46, -0.073790, -0.074803, 0.000253
47, -0.086196, -0.087128, 0.000233
48, -0.069193, -0.070119, 0.000232
49, -0.083900, -0.084789, 0.000222
50, -0.087489, -0.088398, 0.000227
51, -0.068679, -0.069659, 0.000245
52, -0.079119, -0.080225, 0.000276
53, -0.079871, -0.081111, 0.000310
54, -0.060693, -0.062159, 0.000367
55, -0.072541, -0.074148, 0.000402
56, -0.083909, -0.085570, 0.000415
57, -0.085290, -0.086910, 0.000405
58, -0.081854, -0.083321, 0.000367
59, -0.048318, -0.049795, 0.000369
60, -0.067303, -0.068673, 0.000342
61, -0.091530, -0.092820, 0.000322
62, -0.070500, -0.071936, 0.000359
63, -0.075939, -0.077320, 0.000345
64, -0.069552, -0.071175, 0.000406
65, -0.061850, -0.063620, 0.000443
66, -0.095368, -0.097270, 0.000475
67, -0.077723, -0.079526, 0.000451
68, -0.084592, -0.086140, 0.000387
69, -0.073350, -0.074663, 0.000328
70, -0.074797, -0.076042, 0.000311
71, -0.069501, -0.070688, 0.000297
72, -0.088775, -0.089868, 0.000273
73, -0.086871, -0.087983, 0.000278
74, -0.088751, -0.089910, 0.000290
75, -0.061958, -0.063126, 0.000292
76, -0.090474, -0.091806, 0.000333
77, -0.084550, -0.086168, 0.000404
